OFWM Project ID,Scheme Name,Province,District,Village,Facilitating Partner/Implementer Partner,Contractor,Contract Signed Date,Started Date,Completion Date,Actual end date,Project Cost Afs,Project Status,Length (m),Work Progress (%),Elevation,Long,Lat
H004,Deh-Pada,Herat,Zendajan,Deh-Pada,CHA,Bagh Azadi Construction Company,Nov/04/2013,Nov/13/2013,Aug/31/2014,Aug/31/2014,9278910,Completed,3306,100,867,61.941808,34.377569
H003,Deh-Surkh,Herat,Zendajan,Deh-Surkh,CHA,Tawsea & Takamul Construction Company,Sep/16/2013,Oct/02/2013,Jun/01/2014,Jun/01/2014,8079261,Completed,2810,100,867,61.940759,34.396318
H001,Deh-Tapa,Herat,Guzara,Deh-Tapa,CHA,Speen Dara Construction Company,May/11/2013,May/25/2013,Dec/31/2013,Dec/31/2013,4357800,Completed,855,100,917,62.14111,34.274166
N003,Dobandi,Nangarhar,Surkh Rud,Dobandi,UN-Habitat,Builtech Construction Company,Jul/31/2012,Sep/11/2012,Jan/10/2013,Jan/10/2013,4012113,Completed,934,100,701,70.292627,34.409036
N006,Gandero,Nangarhar,Khiwa,Gandero,UN-Habitat,Builtech Construction Company,Oct/14/2012,May/01/2013,Jul/28/2013,Jul/28/2013,2154298.6,Completed,1194,100,591,70.542942,34.521303
H002,Gashincha,Herat,Guzara,Gashincha,CHA,Speen Dara Construction Company,May/11/2013,May/25/2013,Dec/31/2013,Dec/31/2013,8700785,Completed,1500,100,920,62.124651,34.258096
H010,Gulbafa,Herat,Guzara,Gulbafa,CHA,Aria Naweed Construcation Company,Sep/16/2013,Oct/19/2013,Sep/30/2014,Jun/30/2014,1782723.5,Completed,1330,100,918,62.182838,34.282139
N008,Janat Gul,Laghman,Qarghayee,Janat Gul,UN-Habitat,Elham Zaheer Construction Company,Jan/19/2013,Aug/16/2013,Dec/07/2013,Dec/07/2013,1237590,Completed,850,100,627,70.334541,34.523162
M008,Jar-e-Ghulba,Balkh,Khulm,Jar-e-Ghulba,BRAC/CHA,Saba Drukhshan Construction company,Jun/26/2013,Jul/17/2013,Jan/03/2014,Jan/03/2014,2113043,Completed,700,100,410,67.686962,36.72587
B008,Jind Khana,Bamyan,Saighan,Jind Khana,UN-Habitat/CARE International,Maidan Zwahnono Construction Company,Mar/23/2013,Apr/13/2013,Oct/13/2013,Oct/13/2013,3350639.1,Completed,1505,100,2038,67.679423,35.177039
M010,Joi Maktab,Balkh,Balkh,Joi Maktab,BRAC/CHA,Alyas Afghan Construction Company,Sep/23/2013,Oct/20/2013,Jun/30/2014,Jun/04/2014,6500425.8,Completed,1465,100,375,66.859158,36.6834
H007,Joye Dah,Herat,Enjil,Joye Dah,CHA,Speen Dara Construction Company,Mar/14/2013,Mar/31/2013,Oct/10/2013,Oct/10/2013,7627445.7,Completed,1200,100,890,62.044557,34.379177
K020,Joye Maben,Parwan,Bagram,Joye Maben,CARE International,  Nawab Bahadur Construction Company,Sep/28/2013,Oct/19/2013,Jun/01/2014,May/25/2014,5349274,Completed,2212,100,1534,69.179983,34.8983
K019,Joye Othaporak,Parwan,Bagram,Joye Othaporak,CARE International,  Nawab Bahadur Construction Company,Sep/28/2013,Oct/19/2013,Jun/01/2014,May/25/2014,4156313,Completed,1644,100,1524,69.185613,34.903687
K022,Keshteban,Kabul,Mir Bacha Kot,Keshteban,CARE International,Bakhter Pairoz Construction Company,Jul/14/2013,Aug/13/2013,May/25/2014,May/25/2014,5860512,Completed,1200,100,1839,69.10246,34.698481
H009,Khalesa Dowtalab,Herat,Guzara,Khalesa Dowtalab,CHA,Aria Naweed Construcation Company,Sep/16/2013,Oct/19/2013,Sep/30/2014,Jun/30/2014,2941749.5,Completed,890,100,920,62.1499,34.2768
K006,Khuja Chasht,Kabul,Dehsabz,Khuja Chasht,CARE International,Saba Drukhshan Construction company,Mar/23/2013,Sep/01/2013,May/30/2014,,4206193.2,Ongoing,827,60,1745,69.246208,34.646225
K004,Khuja Sabz Posh,Kabul,Dehsabz,Khuja Sabz Posh,CARE International,Saba Drukhshan Construction company,Dec/31/2012,Apr/13/2013,May/30/2014,,7759897.6,Ongoing,1970,95,1744,69.237705,34.650629
K015,Koftiba,Kabul,Shakar Dara,Koftiba,CARE International,Farzan Kaihan GEO Exprt Construction Company,Aug/25/2013,Aug/31/2013,Jun/21/2014,Jun/21/2014,10420648.4,Completed,2380,100,1814,69.171614,34.395536
H005,Koshk-e Bade Saba,Herat,Enjil,Koshk-e Bade Saba,CHA,Bagh Azadi Construction Company,Nov/04/2013,Nov/13/2013,Aug/31/2014,Aug/31/2014,16695130.5,Completed,4480,100,870,61.965386,34.369647
N011,Koza Wyala,Kunarha,Noor Gul,Koza Wyala,UN-Habitat,Elham Zaheer Construction Company,Mar/26/2013,Aug/17/2013,Jan/10/2014,Jan/10/2014,1359407,Completed,1150,100,654,70.739016,34.60975
M002,Larghan Larghan,Samangan,Central of Samangan,Larghan Larghan,BRAC/CHA,Builtech Construction Company,Jun/11/2013,Jun/25/2013,Oct/31/2014,Nov\17\2014,9309518,Completed,1390,100,941,68.002982,36.300489
M001,Larghan/Hassan Khil,Samangan,Central of Samangan,Larghan/Hassan Khail,BRAC/CHA,Builtech Construction Company,Jun/11/2013,Jun/25/2013,Oct/31/2014,Nov\17\2014,13611527.66,Completed,1975,100,934,67.957789,36.284434
B001,Leji Canal,Bamyan,Central of Bamyan,Leji,UN-Habitat/CARE International,Waheed Wahaj Construction Company,Apr/9/2013,Apr/29/2013,Aug/10/2014,Sep/25/2014,1962721,Completed,1150,100,2593,67.751771,34.847359
N002,Lower Safdari,Nangarhar,Kama,Lower Safdari,UN-Habitat,Naimi Construction Company,Jul/13/2013,Jul/25/2013,Dec/19/2013,Dec/19/2013,5791559.64,Completed,1500,100,534,70.650804,34.436592
N013,Malekan,Kunarha,Narang Wa Badil,Malekan,UN-Habitat,Elham Zaheer Construction Company,Mar/26/2013,Aug/17/2013,Jan/10/2014,Jan/10/2014,1975495,Completed,1270,100,783,71.083584,34.774466
N004,Malikan,Nangarhar,Surkh Rud,Malikan,UN-Habitat,Builtech Construction Company,Jul/31/2012,Sep/11/2012,Jan/10/2013,Jan/10/2013,4156634,Completed,1094,100,714,70.285566,34.400855
